Author Gender,Author Born On,Title,Good Reads Id,Year of Publication,Author Country,Pages,Author GR Id,Author Birth Year,Author Hometown,Author,Author Birthday,Attempted
male,1952/03/11,The Restaurant at the End of the Universe,8695,1980,"Cambridge, England",250,4,1952,"Cambridge, England",Douglas Adams,03/11,1
male,1900/07/02,The Road to Mecca,362413,1954,,375,17198332,1900,,محمد أسد,07/02,1
male,,The Sea of Monsters,28186,2006,"San Antonio, Texas",279,15872,,"San Antonio, Texas",Rick Riordan,,1
,,The Self Illusion,13384559,2011,,79,2996545,,,Bruce M. Hood,,1
female,1973/12/24,The Short Second Life of Bree Tanner,7937462,2009,Connecticut,178,941441,1973,Connecticut,Stephenie Meyer,12/24,1
male,,The Storytelling Animal,12743473,2014,,248,1138643,,,Jonathan Gottschall,,1
,1958/12/10,The Thief Lord,113304,2000,"Dorsten, North Rhine-Westphalia",350,15873,1958,"Dorsten, North Rhine-Westphalia",Cornelia Funke,12/10,1
female,1981/09/30,The Time of My Life,10893138,2011,Dublin,392,7116,1981,Dublin,Cecelia Ahern,09/30,1
male,1963/09/03,The Tipping Point,2612,2000,"London, England",301,1439,1963,"London, England",Malcolm Gladwell,09/03,1
male,,The Titan's Curse,561456,2007,"San Antonio, Texas",320,15872,,"San Antonio, Texas",Rick Riordan,,1
male,,The Undercover Economist,70420,2005,,276,14442,,,Tim Harford,,1
male,1974/10/23,The White Tiger,1768603,2008,Madras,320,810254,1974,Madras,Aravind Adiga,10/23,1
,,The Wish Giver,3638,1983,,192,2495,,,Bill Brittain,,1
male,1953/07/20,The World is Flat,1911,2005,"Minneapolis, Minnesota",616,16759765,1953,"Minneapolis, Minnesota",Thomas L. Friedman,07/20,1
male,,The Zahir,1427,2005,Rio de Janeiro,336,566,,Rio de Janeiro,Paulo Coelho,,1
female,,The Zoya Factor,3840329,2008,Meerut,511,1637550,,Meerut,Anuja Chauhan,,1
male,1933/07/20,There Was a Country,12497,2005,"Providence, Rhode Island",309,4178,1933,"Providence, Rhode Island",Cormac McCarthy,07/20,1
male,,Third Best,34445008,1595,"Stratford-upon-Avon, Warwickshire, England",392,947,,"Stratford-upon-Avon, Warwickshire, England",William Shakespeare,,1
,,This Explains Everything,15818399,2013,Boston,411,63348,,Boston,John Brockman,,1
,,Tuesdays with Morrie,6900,1997,"Passaic, New Jersey",210,2331,,"Passaic, New Jersey",Mitch Albom,,1
female,1973/12/24,Twilight,41865,2005,Connecticut,498,941441,1973,Connecticut,Stephenie Meyer,12/24,1
female,1973/12/24,Twilight,41865,2005,Connecticut,498,941441,1973,Connecticut,Stephenie Meyer,12/24,1
male,1963/09/03,What the Dog Saw,6516450,2009,"London, England",444,1439,1963,"London, England",Malcolm Gladwell,09/03,1
male,1928/03/12,Who's Afraid of Virginia Woolf,14940,1962,Virginia,272,9322,1928,Virginia,Edward Albee,03/12,1
female,1959/08/27,Why Be Happy when You Could Be Normal,11395597,2011,"Manchester, England",230,9399,1959,"Manchester, England",Jeanette Winterson,08/27,1
female,1950/08/19,Wise and Otherwise,1184484,2006,Shiggaon ,220,577199,1950,Shiggaon ,Sudha Murty,08/19,1
male,,You Are Now Less Dumb,16101143,2013,,320,4945190,,,David McRaney,,1
